,post_id,likes_count,reposts_count,comments_count,time
201,427035.0,408.0,16.0,27.0,1480571942.0
202,427007.0,638.0,7.0,31.0,1480570303.0
203,426983.0,717.0,6.0,18.0,1480566675.0
204,426798.0,790.0,16.0,67.0,1480529481.0
205,426711.0,1310.0,30.0,63.0,1480522764.0
206,426622.0,905.0,12.0,44.0,1480510094.0
207,426538.0,454.0,5.0,33.0,1480504141.0
208,426511.0,1291.0,44.0,37.0,1480503717.0
209,426497.0,401.0,5.0,22.0,1480503648.0
210,426485.0,470.0,5.0,58.0,1480503548.0
211,426457.0,350.0,2.0,30.0,1480502493.0
212,426428.0,27.0,0.0,17.0,1480500035.0
213,426392.0,530.0,15.0,41.0,1480499044.0
214,426274.0,167.0,7.0,25.0,1480480725.0
215,426267.0,728.0,15.0,25.0,1480480590.0
216,426263.0,691.0,25.0,15.0,1480480427.0
217,426252.0,997.0,36.0,27.0,1480479725.0
218,426235.0,225.0,9.0,34.0,1480476017.0
219,426182.0,142.0,12.0,22.0,1480453458.0
220,426133.0,316.0,4.0,21.0,1480449209.0
221,426003.0,311.0,7.0,52.0,1480417253.0
222,425912.0,787.0,6.0,64.0,1480409010.0
223,425841.0,486.0,11.0,58.0,1480404795.0
224,425758.0,460.0,4.0,50.0,1480397093.0
225,425698.0,571.0,8.0,43.0,1480393260.0
226,425641.0,410.0,6.0,28.0,1480390177.0
227,425623.0,954.0,32.0,34.0,1480389762.0
228,425612.0,1757.0,62.0,35.0,1480389564.0
229,425605.0,1138.0,20.0,19.0,1480389396.0
230,425597.0,405.0,13.0,27.0,1480389121.0
231,425589.0,1015.0,22.0,22.0,1480388330.0
232,425569.0,1003.0,31.0,27.0,1480385243.0
233,425431.0,423.0,10.0,49.0,1480359240.0
234,425270.0,463.0,19.0,71.0,1480337670.0
235,425199.0,578.0,15.0,73.0,1480334400.0
236,425195.0,553.0,8.0,25.0,1480334318.0
237,425038.0,389.0,14.0,121.0,1480321926.0
238,424939.0,300.0,24.0,33.0,1480313355.0
239,424936.0,542.0,24.0,33.0,1480313318.0
240,424905.0,640.0,8.0,26.0,1480311808.0
241,424860.0,188.0,2.0,46.0,1480308555.0
242,424849.0,462.0,7.0,32.0,1480308186.0
243,424775.0,400.0,10.0,50.0,1480289854.0
244,424583.0,833.0,16.0,43.0,1480270239.0
245,424553.0,701.0,20.0,30.0,1480269956.0
246,424550.0,373.0,13.0,50.0,1480269900.0
247,424506.0,343.0,10.0,35.0,1480264673.0
248,424418.0,733.0,18.0,43.0,1480250129.0
249,424351.0,1174.0,63.0,42.0,1480238974.0
250,424268.0,890.0,11.0,53.0,1480228900.0
251,424264.0,772.0,24.0,20.0,1480228805.0
252,424173.0,119.0,4.0,50.0,1480190929.0
253,424092.0,947.0,24.0,65.0,1480186049.0
